Href,Type,Name,Teacher,Level,Duration,Date,Votes
https://www.pluralsight.com/browse?=&q=office%20applications&type=all,Course,Building a Chat Application with React Native,Reggie Dawson,Intermediate,1h 40m,2024-07-23,
https://www.pluralsight.com/browse?=&q=security%20architecture%20engineering&type=all&sort=default,Course,CompTIA Cloud+ (CV0-004): Cloud Architecture,Michael Brown,Intermediate,5h 18m,2024-07-23,
https://www.pluralsight.com/browse?=&q=security%20architecture%20engineering&type=all&sort=default,Course,Zero Trust Architecture Foundational Concepts,Cristian Pascariu,Beginner,1h 7m,2024-07-19,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Zero Trust Architecture Foundational Concepts,Cristian Pascariu,Beginner,1h 7m,2024-07-19,
https://www.pluralsight.com/browse?=&q=cloud%20architecture%20design&type=all&sort=default,Course,Zero Trust Architecture Foundational Concepts,Cristian Pascariu,Beginner,1h 7m,2024-07-19,
https://www.pluralsight.com/browse?=&q=web%20development&type=all&sort=default,Course,Scrum Development with Jira & Jira Agile,Xavier Morera,Intermediate,1h 27m,2024-07-16,(897)
https://www.pluralsight.com/browse?=&q=game%20development&type=all&sort=default,Course,Scrum Development with Jira & Jira Agile,Xavier Morera,Intermediate,1h 27m,2024-07-16,(897)
https://www.pluralsight.com/browse?=&q=cloud%20architecture%20design&type=all&sort=default,Course,Product Design Fundamentals,Matthew Pizzi,Beginner,53m,2024-07-16,
https://www.pluralsight.com/browse?=&q=security%20architecture%20engineering&type=all&sort=default,Course,Prompt Engineering for Google Gemini,David Harris,Beginner,8m,2024-07-16,
https://www.pluralsight.com/browse?=&q=mobile%20development&type=all&sort=default,Course,Scrum Development with Jira & Jira Agile,Xavier Morera,Intermediate,1h 27m,2024-07-16,(897)
https://www.pluralsight.com/browse?=&q=machine%20learning&type=all&sort=default,Course,Deploying Models with Azure Machine Learning,Axel Sirota,Beginner,17m,2024-07-15,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Java 8 Fundamentals: The Core Platform,Jim Wilson,Beginner,7h 21m,2024-07-12,(496)
https://www.pluralsight.com/browse?=&q=collaboration%20platforms&type=all&sort=default,Course,Java 8 Fundamentals: The Core Platform,Jim Wilson,Beginner,7h 21m,2024-07-12,(496)
https://www.pluralsight.com/browse?=&q=big%20data&type=all&sort=default,Course,Engineering Management: The Big Picture,Floyd May,Beginner,50m,2024-07-12,
https://www.pluralsight.com/browse?=&q=security%20architecture%20engineering&type=all&sort=default,Course,Engineering Management: The Big Picture,Floyd May,Beginner,50m,2024-07-12,
https://www.pluralsight.com/browse?=&q=data%20languages%20libraries&type=all&sort=default,Course,Tableau Certified Data Analyst: Connect to and Transform Data,"Jason Browning, Ph.D.",Beginner,1h 40m,2024-07-11,
https://www.pluralsight.com/browse?=&q=data%20visualization&type=all&sort=default,Course,Tableau Certified Data Analyst: Connect to and Transform Data,"Jason Browning, Ph.D.",Beginner,1h 40m,2024-07-11,
https://www.pluralsight.com/browse?=&q=office%20applications&type=all,Course,Performance Measuring and Monitoring for .NET Applications,Ivan Gavryliuk,Intermediate,2h 36m,2024-07-09,(34)
https://www.pluralsight.com/browse?=&q=web%20development&type=all&sort=default,Course,ASP.NET Core Web API: Best Practices,Steve Smith,Advanced,3h 11m,2024-07-08,(105)
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Information and Cyber Security Literacy: Security Operations,Christopher Rees,Beginner,56m,2024-07-08,
https://www.pluralsight.com/browse?=&q=data%20languages%20libraries&type=all&sort=default,Course,SnowPro Advanced Data Analyst: Data Transformation and Modeling,Ian Fogelman,Intermediate,1h 13m,2024-07-08,
